FEATURE1,FEATURE2,FEATURE3
F1,!F3,!F8
F2,F3,F5
F10,F12,F1
!F12,!F3,!F9
!F12,!F11,F0
F6,F7,F8
!F10,F11,!F3
F5,F6,!F7
F7,!F8,!F9
F11,F1,F5
F12,F2,F9
F11,F0,F1
F1,F4,!F6
!F11,!F0,F2
!F12,F6,!F8
F3,!F8,!F9
F10,F6,F8
!F12,!F11,F2
!F0,F2,!F8
!F0,!F8,F9
!F3,!F6,F9
!F12,F5,!F9
!F6,F7,F9
F11,F2,F8
!F12,F4,F5
F11,F5,F7
!F0,F2,F5
F10,!F3,F8
F11,!F6,F9
!F0,F6,!F8
F2,F6,!F9
!F10,!F3,F6
F12,F3,!F6
!F6,F7,!F8
F10,!F0,F4
!F11,F7,!F9
F10,F1,F8
F12,F4,!F7
F12,F2,F7
F12,!F3,F5
F6,!F7,F8
F12,F1,!F3
!F12,F1,!F3
F2,F8,!F9
!F10,F12,!F0
F10,F1,!F3
!F3,!F6,F8
!F10,F0,!F7
F12,F2,!F9
F2,!F3,F6
